from;to
0;1
0;6
0;12
0;45
0;107
0;218
0;247
0;284
0;291
0;328
0;349
1;2
1;3
1;4
1;5
1;7
1;8
1;9
1;10
1;11
1;13
1;15
1;16
1;18
1;19
1;25
1;26
1;27
1;29
1;38
1;40
1;42
1;43
1;48
1;58
1;65
1;66
1;83
1;90
1;95
1;97
1;103
1;116
1;127
1;139
1;146
1;149
1;153
1;160
1;166
1;168
1;176
1;181
1;202
1;215
1;220
1;231
1;237
1;238
1;241
1;243
1;251
1;253
1;280
1;302
1;334
1;338
1;351
6;14
6;47
6;50
6;106
6;292
6;309
291;300
2;32
2;37
2;78
2;123
2;143
2;154
2;171
2;185
2;188
2;227
2;261
2;267
2;352
3;73
3;94
3;104
3;115
4;17
4;30
4;100
4;164
4;209
5;54
5;72
5;199
5;222
5;262
7;102
7;276
8;87
9;175
9;248
9;268
9;278
10;112
10;144
10;264
11;31
11;60
11;122
11;147
11;150
11;210
11;240
13;22
13;91
13;192
13;272
15;23
15;34
15;55
15;93
15;165
15;212
15;219
15;236
15;256
15;273
16;198
18;59
19;35
19;39
19;41
19;49
19;52
19;62
19;88
19;101
19;105
19;108
19;133
19;161
19;177
19;204
19;242
19;245
25;308
26;56
27;70
29;44
29;51
29;214
40;64
40;118
40;129
40;172
40;173
40;211
40;217
40;239
48;297
58;333
65;120
65;124
65;128
83;157
90;191
95;99
95;305
95;329
95;342
231;306
241;336
253;279
253;307
302;322
37;113
37;179
37;228
37;287
123;246
154;255
188;277
94;286
104;213
17;74
30;67
30;252
30;265
72;76
72;131
72;151
14;20
14;46
14;71
14;84
14;132
14;174
14;304
106;135
106;140
106;201
175;205
112;190
112;259
112;327
31;57
31;117
31;274
31;296
122;234
147;152
147;298
150;311
150;318
22;53
20;21
20;24
20;28
20;80
20;110
20;125
46;180
46;208
23;36
23;89
23;142
23;187
55;68
55;82
55;98
55;134
55;138
55;145
55;183
55;184
55;260
165;320
256;345
59;61
59;167
59;189
59;295
35;63
35;79
41;206
62;81
62;119
62;299
101;130
101;158
101;193
108;141
21;290
28;33
28;86
53;77
53;196
53;230
36;96
89;169
308;325
33;226
33;341
33;350
86;159
44;186
51;75
51;121
252;293
96;330
113;225
113;232
118;203
118;216
118;314
129;156
129;178
172;348
173;233
173;271
208;332
297;323
75;346
77;163
77;250
77;339
230;269
68;111
68;136
68;195
68;266
68;303
82;92
98;109
98;126
145;194
183;283
61;69
167;313
295;312
69;114
81;85
81;223
120;285
124;197
111;148
111;182
111;270
111;275
111;281
131;155
131;343
85;162
85;221
85;317
223;244
223;257
157;288
99;137
99;324
109;331
126;254
126;301
158;200
158;258
201;207
201;289
201;310
201;316
201;335
141;263
259;344
327;340
232;282
156;229
156;235
156;249
178;224
178;294
155;170
155;315
255;337
313;319
224;326
257;321
312;347
