x;y
-605.5527444974379;-240.16195513182558
-661.8298260097635;-293.3419530341211
-541.6612374311466;-167.55039394473278
-608.247852332387;-265.0027851564062
-714.2503433044418;-350.5118607920388
-814.0831816152006;-421.8139884274821
-661.3282464093365;-341.27074715432127
549.622682753232;44.59236055651277
600.4565342422459;-3.4936480643164587
438.14705258487743;134.28297552866997
609.959079863999;3.3842454306830727
653.8066762328403;-49.11770313988737
750.015596456828;-146.09321506232266
-391.4721278772832;969.9035454840013
-530.935765734606;1091.1532854018533
-312.23584068527236;808.3854147559881
-333.2415842838354;999.9255886451795
-644.81831532227;1143.551453255938
-556.5665807842669;1151.3635776053104
-759.9016649956042;1156.3597925739803
-642.9254528948779;1176.5924401104542
-495.09844549622557;1176.1624035778354
1012.0525665091744;-1031.3629249430737
910.0909721767079;-858.9701863733907
1107.8778657884127;-1092.588765900984
1024.65029536484;-1132.812966539079
817.8467795980595;-681.1846796623938
600.414824705659;-461.8968643911094
950.208695137278;-715.948433633378
-860.9626088528227;-512.2896112063294
-875.4912319447161;-498.84463879015084
-809.8756197306392;-537.3488135625507
-896.4743408005943;-502.12185244667745
-890.5131371043793;-489.0525758802044
-897.9655676360682;-473.3588297934055
-18.163971736196157;-339.93269070264495
-19.225955474685314;-413.72254650330353
-32.60026953994393;-248.23674223657468
-177.41672432900992;-415.0777082948149
142.76554332012614;-273.02511474392077
-346.9420447881668;-512.3290045974918
296.79197971282474;-379.3594529862943
-666.0761330465953;-583.0240411871633
-351.3305285261077;-539.9963113893026
305.8249583540195;-253.99595181227778
-462.16218903485134;-49.75758436448906
-553.518525148107;-216.87825143721557
-465.6042859284414;-119.42600254766128
-375.9443290832951;135.99566622876145
-487.63270937622195;-265.5285896809139
-355.2265646068823;52.51731148216204
-307.18576164684146;407.296441898174
-139.50829041162444;110.59424539647645
-100.84601432977362;-70.67697617414551
-182.46354081892875;352.8715608348376
-131.13291874793703;55.18585190270106
-131.32193087952723;-71.61490738863075
-158.51985474998662;-194.82124164829636
-160.39526536018153;-358.2510106465786
134.15529490234204;-217.70797246708855
214.18424674902823;81.27849757776598
-293.85215653925127;546.4511774910072
-838.8785834131919;-700.6308988126447
-732.373953474755;-736.2714851604154
-948.1454506264475;-761.8319691901295
-1002.7515642495769;-720.0859402792515
-901.2863218501956;-518.46238147347
-851.3531604692168;-467.47239339471145
-873.1854532344682;-454.9719754212912
-835.3117268232202;-507.42038657408665
-903.6036002409263;-481.0245011657692
-606.0210639652687;-638.7118065435504
-694.332207985203;-771.1895867026262
-543.1114806668546;-508.7689639939226
-685.2195233665626;-602.7930542854664
-498.0842190686762;-668.6651387513275
-772.5600309082342;-690.2708109251108
-653.8219419931168;-867.6652218172131
-741.0642299057822;-881.5552864826429
-814.7364253850178;-611.0110275288989
-890.9577195798075;-773.4088330326979
-567.289031955084;-892.3890531339808
-697.1376951835466;-933.6021193489635
-827.938661817118;-932.713842028232
-240.91077014276001;476.2936895116466
-26.952490197757434;387.8084198365858
-449.5871179089319;552.4615802892881
-239.59394525689842;492.0245663147944
-86.2927700335295;434.3315035975842
250.60798137344926;253.29429451577445
12.91419942583002;422.02427770662297
337.84173075573096;239.6095457339718
964.3446594095315;-436.94168985170955
1050.235237202605;-586.3259853938782
873.1138126053729;-301.5879884079514
974.7329113377876;-418.7692511695516
1073.8597949623636;-617.5754223755818
1117.5687874399023;-703.1814060329195
1052.3074149279664;-555.6223349598894
1119.4392573797134;-709.7185226512395
1186.4238400090599;-815.2729588803156
688.4497441700423;-317.38900995088414
856.3792918957124;-333.76343927267544
805.0531203152653;-237.48175135032344
493.7804661582329;-228.10107145291548
797.7925532224942;253.72407572079442
831.7855575008745;179.91886820377238
687.0159649640694;240.37749412592865
860.8864453566327;284.45514473797056
803.7994964830301;304.2821758789538
706.4071296132721;185.86506987568885
942.795169700607;181.6167344205819
871.90407435528;96.42698330522569
595.5946193746609;137.91279891825175
1009.4602324837731;205.37139029713015
961.6100648481407;235.93864254114746
958.3144896230177;100.46515118053634
820.3080094582965;8.164478124128491
-594.017265711695;-319.6951082144259
-405.1670876243053;-249.49480021729363
-482.3695677686407;-375.07269138659336
-669.615323070348;-457.5756198577114
-312.34791717337555;-132.68762301081063
-413.6689510665491;-350.8676815107496
-724.248891825073;-556.7398279916789
-921.6400459728995;-688.8677651750502
-723.2756056504895;-434.01286891480424
-950.8131483462856;-520.7924492244737
-1036.6467957457116;-570.9510540449551
-1017.1325319129741;-528.1440608133673
-272.2754166251388;183.75587297629772
-303.44205608203197;11.876168288889426
