x;y;z
0.7987302685781159;0.8933959858051178;0.6004581402482035
0.8394855093983136;0.8570698590208154;0.5926762190877641
0.7416680886272192;0.882470903496771;0.5969305575201761
0.8987154739397065;0.771710675561487;0.5737610190169871
0.7799433409963294;0.8377030137493481;0.5871381290368382
0.952682669909899;0.6716300034125803;0.5513144701295987
0.8408965877598091;0.7457957224611873;0.566724947708778
0.9908066670368464;0.5762765277197021;0.5296977884698566
0.898107105703348;0.640019802893541;0.5430048410287844
1.0;0.5084801950900626;0.5140196103318326
0.9413265789966789;0.5396289330654799;0.5202974095078123
0.9596228881756476;0.471118644082105;0.5046057785580934
0.6347010476588478;0.8391639018353546;0.5849842402800881
0.6683966091785818;0.7898290266408425;0.5740494842635866
0.726920949908618;0.690670542931996;0.5519048302730277
0.7865985093705172;0.5804595569067559;0.5271917096632173
0.8370960005724143;0.47796498753365046;0.504116533769773
0.863945269430561;0.4115212172981816;0.48905085573815227
0.5141890705299149;0.7802143624722568;0.5691454172924216
0.5443918580454314;0.7275991698895172;0.5573874576670569
0.5997051626973171;0.6251396200318092;0.5344194004124928
0.6588284984528908;0.5159948528586077;0.5099470550191193
0.7141548274009915;0.4142667873378881;0.48713219994325024
0.7471623582730291;0.349137136557756;0.47247741485548916
0.3901233308587506;0.7160391177495757;0.5520146587437171
0.4195774888788907;0.661809365213932;0.5398680185298651
0.4758644223089314;0.5582732113830553;0.5166680261332482
0.5321374828542729;0.4548116443460601;0.49347465650220895
0.5882000839772652;0.351757012122181;0.4703624390921918
0.6237774156304027;0.2863985212553399;0.4556973894176532
0.2658445588728948;0.6525289448419302;0.5350229264809494
0.2934604663441265;0.5986599432447843;0.5229284107941938
0.3494221928045841;0.4966459286583406;0.5000775523536164
0.4088737491820151;0.387775945733188;0.4756771507370158
0.4641068801624907;0.28610637138450207;0.4528760876804393
0.5008686123362414;0.22300540669025654;0.43876099913066774
0.14827941748536527;0.5890199638550832;0.5181381119533941
0.17098023549237407;0.5343146657105554;0.5057606102747106
0.22244847231392645;0.4317276821447606;0.48269685786605354
0.2825205523076804;0.32182575498172084;0.4580665732029205
0.34093307511800836;0.22358568625914343;0.43612525133343666
0.3821715832899267;0.16485064799051036;0.4231107809667145
0.052209436665334494;0.5277472240264423;0.5021435284318985
0.06794569401062983;0.4722042346996325;0.48944694706913283
0.1123401355179009;0.37180372931802996;0.4667684801907255
0.1700090539820468;0.2664165190109847;0.4431522150207829
0.23053795964768006;0.17503729255994702;0.422853231432923
0.27805539651888456;0.12233811968718553;0.41136236124688846
0.0;0.47685552724966984;0.48933829009245206
0.008128389048562978;0.4261555068327152;0.4776369407042674
0.04674050397428781;0.33300872140549703;0.45655116239137056
0.10039340602866803;0.23532226269089854;0.4346639655877508
0.15835198759737076;0.15274394832354973;0.4163791390016843
0.20812749837192623;0.1082999938859643;0.4068600594688155
